ativo,preco,moeda,horario_coleta
ETH,3886.245,USD,2025-10-31 17:01:37
ETH,3883.405,USD,2025-10-31 17:14:22
ETH,3887.255,USD,2025-10-31 17:16:40
ETH,3878.285,USD,2025-10-31 17:34:13
ETH,3857.975,USD,2025-10-31 17:55:57
ETH,3857.635,USD,2025-10-31 18:00:58
ETH,3853.0,USD,2025-10-31 20:21:47
ETH,3855.37,USD,2025-10-31 20:26:01
ETH,3874.535,USD,2025-11-01 15:38:37
